species_key	display_name	class	n_lcr	n_nterm	pct_nterm	nterm_OR	nterm_p	nterm_sig
buchnera_aphidicola_str_aps_acyrthosiphon_pisum__gca_000009605	Buchnera aphidicola str. APS	without_signal_peptide	0	0				
buchnera_aphidicola_str_aps_acyrthosiphon_pisum__gca_000009605	Buchnera aphidicola str. APS	unannotated	3	0	0.0		1.0	False
burkholderia_pseudomallei_1710b_gca_000012785	Burkholderia pseudomallei 1710b	with_signal_peptide	0	0				
burkholderia_pseudomallei_1710b_gca_000012785	Burkholderia pseudomallei 1710b	without_signal_peptide	0	0				
burkholderia_pseudomallei_1710b_gca_000012785	Burkholderia pseudomallei 1710b	unannotated	70	13	18.57	5.018	0.007909	True
campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819_gca_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	with_signal_peptide	0	0				
campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819_gca_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	without_signal_peptide	0	0				
campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819_gca_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	unannotated	10	4	40.0	inf	0.05418	False
candidatus_koribacter_versatilis_ellin345_gca_000014005	Candidatus Koribacter versatilis Ellin345	with_signal_peptide	0	0				
candidatus_koribacter_versatilis_ellin345_gca_000014005	Candidatus Koribacter versatilis Ellin345	without_signal_peptide	0	0				
candidatus_koribacter_versatilis_ellin345_gca_000014005	Candidatus Koribacter versatilis Ellin345	unannotated	67	9	13.43	3.259	0.067241	False
caulobacter_crescentus	Caulobacter crescentus	with_signal_peptide	5	0	0.0		1.0	False
caulobacter_crescentus	Caulobacter crescentus	without_signal_peptide	25	2	8.0	2.0	0.515632	False
caulobacter_crescentus	Caulobacter crescentus	unannotated	0	0				
caulobacter_vibrioides_cb15_gca_000006905	Caulobacter vibrioides CB15	with_signal_peptide	0	0				
caulobacter_vibrioides_cb15_gca_000006905	Caulobacter vibrioides CB15	without_signal_peptide	0	0				
caulobacter_vibrioides_cb15_gca_000006905	Caulobacter vibrioides CB15	unannotated	30	2	6.67	2.0	0.512935	False
chlamydia_trachomatis_d_uw_3_cx_gca_000008725	Chlamydia trachomatis D/UW-3/CX	with_signal_peptide	0	0				
chlamydia_trachomatis_d_uw_3_cx_gca_000008725	Chlamydia trachomatis D/UW-3/CX	without_signal_peptide	0	0				
chlamydia_trachomatis_d_uw_3_cx_gca_000008725	Chlamydia trachomatis D/UW-3/CX	unannotated	15	0	0.0		1.0	False
chlorobaculum_tepidum_tls_gca_000006985	Chlorobaculum tepidum TLS	with_signal_peptide	0	0				
chlorobaculum_tepidum_tls_gca_000006985	Chlorobaculum tepidum TLS	without_signal_peptide	0	0				
chlorobaculum_tepidum_tls_gca_000006985	Chlorobaculum tepidum TLS	unannotated	13	0	0.0		1.0	False
chloroflexus_aurantiacus_j_10_fl_gca_000018865	Chloroflexus aurantiacus J-10-fl	with_signal_peptide	0	0				
chloroflexus_aurantiacus_j_10_fl_gca_000018865	Chloroflexus aurantiacus J-10-fl	without_signal_peptide	0	0				
chloroflexus_aurantiacus_j_10_fl_gca_000018865	Chloroflexus aurantiacus J-10-fl	unannotated	52	14	26.92	9.026	0.001111	True
clostridioides_difficile	Clostridioides difficile	with_signal_peptide	1	0	0.0		1.0	False
clostridioides_difficile	Clostridioides difficile	without_signal_peptide	25	2	8.0	2.0	0.515632	False
clostridioides_difficile	Clostridioides difficile	unannotated	0	0				
coxiella_burnetii_rsa_493_gca_000007765	Coxiella burnetii RSA 493	with_signal_peptide	0	0				
coxiella_burnetii_rsa_493_gca_000007765	Coxiella burnetii RSA 493	without_signal_peptide	0	0				
coxiella_burnetii_rsa_493_gca_000007765	Coxiella burnetii RSA 493	unannotated	9	2	22.22	inf	0.264706	False
cutibacterium_acnes_kpa171202_gca_000008345	Cutibacterium acnes KPA171202	with_signal_peptide	0	0				
cutibacterium_acnes_kpa171202_gca_000008345	Cutibacterium acnes KPA171202	without_signal_peptide	0	0				
cutibacterium_acnes_kpa171202_gca_000008345	Cutibacterium acnes KPA171202	unannotated	20	3	15.0	3.353	0.302495	False
deinococcus_radiodurans	Deinococcus radiodurans	with_signal_peptide	6	2	33.33	inf	0.272727	False
deinococcus_radiodurans	Deinococcus radiodurans	without_signal_peptide	32	8	25.0	10.0	0.014962	True
deinococcus_radiodurans	Deinococcus radiodurans	unannotated	0	0				
desulfovibrio_vulgaris_str_hildenborough_gca_000195755	Desulfovibrio vulgaris str. Hildenborough	with_signal_peptide	0	0				
desulfovibrio_vulgaris_str_hildenborough_gca_000195755	Desulfovibrio vulgaris str. Hildenborough	without_signal_peptide	0	0				
desulfovibrio_vulgaris_str_hildenborough_gca_000195755	Desulfovibrio vulgaris str. Hildenborough	unannotated	33	5	15.15	5.536	0.105356	False
dictyoglomus_turgidum_dsm_6724_gca_000021645	Dictyoglomus turgidum DSM 6724	with_signal_peptide	0	0				
dictyoglomus_turgidum_dsm_6724_gca_000021645	Dictyoglomus turgidum DSM 6724	without_signal_peptide	0	0				
dictyoglomus_turgidum_dsm_6724_gca_000021645	Dictyoglomus turgidum DSM 6724	unannotated	12	2	16.67	inf	0.26087	False
enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565	Enterobacter cloacae subsp. cloacae ATCC 13047	with_signal_peptide	0	0				
enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565	Enterobacter cloacae subsp. cloacae ATCC 13047	without_signal_peptide	0	0				
enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565	Enterobacter cloacae subsp. cloacae ATCC 13047	unannotated	34	1	2.94	0.97	0.761194	False
enterococcus_faecalis_v583_gca_000007785	Enterococcus faecalis V583	with_signal_peptide	0	0				
enterococcus_faecalis_v583_gca_000007785	Enterococcus faecalis V583	without_signal_peptide	0	0				
enterococcus_faecalis_v583_gca_000007785	Enterococcus faecalis V583	unannotated	24	2	8.33	2.0	0.516312	False
escherichia_coli_k12	Escherichia coli K12	with_signal_peptide	3	1	33.33	inf	0.6	False
escherichia_coli_k12	Escherichia coli K12	without_signal_peptide	23	2	8.7	2.0	0.517054	False
escherichia_coli_k12	Escherichia coli K12	unannotated	0	0				
flavobacterium_psychrophilum_jip02_86_gca_000064305	Flavobacterium psychrophilum JIP02/86	with_signal_peptide	0	0				
flavobacterium_psychrophilum_jip02_86_gca_000064305	Flavobacterium psychrophilum JIP02/86	without_signal_peptide	0	0				
flavobacterium_psychrophilum_jip02_86_gca_000064305	Flavobacterium psychrophilum JIP02/86	unannotated	10	0	0.0		1.0	False
francisella_tularensis_subsp_tularensis_schu_s4_gca_000008985	Francisella tularensis subsp. tularensis SCHU S4 str. Schu S4	with_signal_peptide	0	0				
francisella_tularensis_subsp_tularensis_schu_s4_gca_000008985	Francisella tularensis subsp. tularensis SCHU S4 str. Schu S4	without_signal_peptide	0	0				
francisella_tularensis_subsp_tularensis_schu_s4_gca_000008985	Francisella tularensis subsp. tularensis SCHU S4 str. Schu S4	unannotated	12	2	16.67	inf	0.26087	False
fusobacterium_nucleatum_subsp_nucleatum_atcc_25586_gca_000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	with_signal_peptide	0	0				
fusobacterium_nucleatum_subsp_nucleatum_atcc_25586_gca_000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	without_signal_peptide	0	0				
fusobacterium_nucleatum_subsp_nucleatum_atcc_25586_gca_000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	unannotated	12	2	16.67	inf	0.26087	False
gardnerella_vaginalis_0288e_gca_000263555	Gardnerella vaginalis 0288E	with_signal_peptide	0	0				
gardnerella_vaginalis_0288e_gca_000263555	Gardnerella vaginalis 0288E	without_signal_peptide	0	0				
gardnerella_vaginalis_0288e_gca_000263555	Gardnerella vaginalis 0288E	unannotated	9	2	22.22	inf	0.264706	False
geobacter_sulfurreducens_pca_gca_000007985	Geobacter sulfurreducens PCA	with_signal_peptide	0	0				
geobacter_sulfurreducens_pca_gca_000007985	Geobacter sulfurreducens PCA	without_signal_peptide	0	0				
geobacter_sulfurreducens_pca_gca_000007985	Geobacter sulfurreducens PCA	unannotated	32	7	21.88	8.4	0.029657	True
gloeobacter_violaceus_pcc_7421_gca_000011385	Gloeobacter violaceus PCC 7421	with_signal_peptide	0	0				
gloeobacter_violaceus_pcc_7421_gca_000011385	Gloeobacter violaceus PCC 7421	without_signal_peptide	0	0				
gloeobacter_violaceus_pcc_7421_gca_000011385	Gloeobacter violaceus PCC 7421	unannotated	54	4	7.41	2.04	0.348173	False
haemophilus_influenzae_rd_kw20_gca_000027305	Haemophilus influenzae Rd KW20	with_signal_peptide	0	0				
haemophilus_influenzae_rd_kw20_gca_000027305	Haemophilus influenzae Rd KW20	without_signal_peptide	0	0				
haemophilus_influenzae_rd_kw20_gca_000027305	Haemophilus influenzae Rd KW20	unannotated	6	0	0.0		1.0	False
helicobacter_pylori_26695_gca_000008525	Helicobacter pylori 26695	with_signal_peptide	0	0				
helicobacter_pylori_26695_gca_000008525	Helicobacter pylori 26695	without_signal_peptide	0	0				
helicobacter_pylori_26695_gca_000008525	Helicobacter pylori 26695	unannotated	8	0	0.0		1.0	False
klebsiella_pneumoniae_subsp_pneumoniae_mgh_78578_gca_000016305	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	with_signal_peptide	0	0				
klebsiella_pneumoniae_subsp_pneumoniae_mgh_78578_gca_000016305	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	without_signal_peptide	0	0				
klebsiella_pneumoniae_subsp_pneumoniae_mgh_78578_gca_000016305	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	unannotated	49	7	14.29	3.833	0.084384	False
lactobacillus_plantarum_wcfs1_gca_000203855	Lactobacillus plantarum WCFS1	with_signal_peptide	0	0				
lactobacillus_plantarum_wcfs1_gca_000203855	Lactobacillus plantarum WCFS1	without_signal_peptide	0	0				
lactobacillus_plantarum_wcfs1_gca_000203855	Lactobacillus plantarum WCFS1	unannotated	26	1	3.85	0.96	0.764706	False
lactococcus_lactis_subsp_lactis_il1403_gca_000006865	Lactococcus lactis subsp. lactis Il1403	with_signal_peptide	0	0				
lactococcus_lactis_subsp_lactis_il1403_gca_000006865	Lactococcus lactis subsp. lactis Il1403	without_signal_peptide	0	0				
lactococcus_lactis_subsp_lactis_il1403_gca_000006865	Lactococcus lactis subsp. lactis Il1403	unannotated	13	1	7.69	inf	0.52	False
leptospira_interrogans_serovar_lai_str_56601_gca_000092565	Leptospira interrogans serovar Lai str. 56601	with_signal_peptide	0	0				
leptospira_interrogans_serovar_lai_str_56601_gca_000092565	Leptospira interrogans serovar Lai str. 56601	without_signal_peptide	0	0				
leptospira_interrogans_serovar_lai_str_56601_gca_000092565	Leptospira interrogans serovar Lai str. 56601	unannotated	30	2	6.67	2.0	0.512935	False
leuconostoc_mesenteroides_subsp_mesenteroides_atcc_8293_gca_000014445	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	with_signal_peptide	0	0				
leuconostoc_mesenteroides_subsp_mesenteroides_atcc_8293_gca_000014445	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	without_signal_peptide	0	0				
leuconostoc_mesenteroides_subsp_mesenteroides_atcc_8293_gca_000014445	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	unannotated	13	1	7.69	inf	0.52	False
listeria_monocytogenes_egd_e_gca_000196035	Listeria monocytogenes EGD-e	with_signal_peptide	0	0				
listeria_monocytogenes_egd_e_gca_000196035	Listeria monocytogenes EGD-e	without_signal_peptide	0	0				
listeria_monocytogenes_egd_e_gca_000196035	Listeria monocytogenes EGD-e	unannotated	25	3	12.0	3.136	0.320234	False
lysinibacillus_sphaericus_c3_41_gca_000017965	Lysinibacillus sphaericus C3-41	with_signal_peptide	0	0				
lysinibacillus_sphaericus_c3_41_gca_000017965	Lysinibacillus sphaericus C3-41	without_signal_peptide	0	0				
lysinibacillus_sphaericus_c3_41_gca_000017965	Lysinibacillus sphaericus C3-41	unannotated	35	4	11.43	4.258	0.187291	False
mesoplasma_florum_l1_gca_000008305	Mesoplasma florum L1	with_signal_peptide	0	0				
mesoplasma_florum_l1_gca_000008305	Mesoplasma florum L1	without_signal_peptide	0	0				
mesoplasma_florum_l1_gca_000008305	Mesoplasma florum L1	unannotated	3	0	0.0		1.0	False
micrococcus_luteus_nctc_2665_gca_000023205	Micrococcus luteus NCTC 2665	with_signal_peptide	0	0				
micrococcus_luteus_nctc_2665_gca_000023205	Micrococcus luteus NCTC 2665	without_signal_peptide	0	0				
micrococcus_luteus_nctc_2665_gca_000023205	Micrococcus luteus NCTC 2665	unannotated	20	4	20.0	4.75	0.170825	False
microcystis_aeruginosa_nies_843_gca_000010625	Microcystis aeruginosa NIES-843	with_signal_peptide	0	0				
microcystis_aeruginosa_nies_843_gca_000010625	Microcystis aeruginosa NIES-843	without_signal_peptide	0	0				
microcystis_aeruginosa_nies_843_gca_000010625	Microcystis aeruginosa NIES-843	unannotated	66	3	4.55	0.984	0.667181	False
moorella_thermoacetica_atcc_39073_gca_000013105	Moorella thermoacetica ATCC 39073	with_signal_peptide	0	0				
moorella_thermoacetica_atcc_39073_gca_000013105	Moorella thermoacetica ATCC 39073	without_signal_peptide	0	0				
moorella_thermoacetica_atcc_39073_gca_000013105	Moorella thermoacetica ATCC 39073	unannotated	25	5	20.0	5.75	0.10385	False
mycobacterium_tuberculosis	Mycobacterium tuberculosis	with_signal_peptide	6	1	16.67	inf	0.545455	False
mycobacterium_tuberculosis	Mycobacterium tuberculosis	without_signal_peptide	36	4	11.11	4.25	0.187303	False
mycobacterium_tuberculosis	Mycobacterium tuberculosis	unannotated	0	0				
mycoplasma_pneumoniae_m129_gca_000027345	Mycoplasma pneumoniae M129	with_signal_peptide	0	0				
mycoplasma_pneumoniae_m129_gca_000027345	Mycoplasma pneumoniae M129	without_signal_peptide	0	0				
mycoplasma_pneumoniae_m129_gca_000027345	Mycoplasma pneumoniae M129	unannotated	6	0	0.0		1.0	False
myxococcus_xanthus_dk_1622_gca_000012685	Myxococcus xanthus DK 1622	with_signal_peptide	0	0				
myxococcus_xanthus_dk_1622_gca_000012685	Myxococcus xanthus DK 1622	without_signal_peptide	0	0				
myxococcus_xanthus_dk_1622_gca_000012685	Myxococcus xanthus DK 1622	unannotated	103	21	20.39	4.968	0.000686	True
neisseria_meningitidis_z2491_gca_000009105	Neisseria meningitidis Z2491	with_signal_peptide	0	0				
neisseria_meningitidis_z2491_gca_000009105	Neisseria meningitidis Z2491	without_signal_peptide	0	0				
neisseria_meningitidis_z2491_gca_000009105	Neisseria meningitidis Z2491	unannotated	12	2	16.67	inf	0.26087	False
nostoc_punctiforme_pcc_73102_gca_000020025	Nostoc punctiforme PCC 73102	with_signal_peptide	0	0				
nostoc_punctiforme_pcc_73102_gca_000020025	Nostoc punctiforme PCC 73102	without_signal_peptide	0	0				
nostoc_punctiforme_pcc_73102_gca_000020025	Nostoc punctiforme PCC 73102	unannotated	49	7	14.29	3.833	0.084384	False
paracoccus_denitrificans_pd1222_gca_000203895	Paracoccus denitrificans PD1222	with_signal_peptide	0	0				
paracoccus_denitrificans_pd1222_gca_000203895	Paracoccus denitrificans PD1222	without_signal_peptide	0	0				
paracoccus_denitrificans_pd1222_gca_000203895	Paracoccus denitrificans PD1222	unannotated	40	6	15.0	3.353	0.131663	False
pasteurella_multocida_subsp_multocida_str_pm70_gca_000006825	Pasteurella multocida subsp. multocida str. Pm70	with_signal_peptide	0	0				
pasteurella_multocida_subsp_multocida_str_pm70_gca_000006825	Pasteurella multocida subsp. multocida str. Pm70	without_signal_peptide	0	0				
pasteurella_multocida_subsp_multocida_str_pm70_gca_000006825	Pasteurella multocida subsp. multocida str. Pm70	unannotated	16	2	12.5	inf	0.258065	False
porphyromonas_gingivalis_w83_gca_000007585	Porphyromonas gingivalis W83	with_signal_peptide	0	0				
porphyromonas_gingivalis_w83_gca_000007585	Porphyromonas gingivalis W83	without_signal_peptide	0	0				
porphyromonas_gingivalis_w83_gca_000007585	Porphyromonas gingivalis W83	unannotated	23	3	13.04	3.15	0.32093	False
prochlorococcus_marinus_subsp_marinus_str_ccmp1375_gca_000007925	Prochlorococcus marinus subsp. marinus str. CCMP1375	with_signal_peptide	0	0				
prochlorococcus_marinus_subsp_marinus_str_ccmp1375_gca_000007925	Prochlorococcus marinus subsp. marinus str. CCMP1375	without_signal_peptide	0	0				
prochlorococcus_marinus_subsp_marinus_str_ccmp1375_gca_000007925	Prochlorococcus marinus subsp. marinus str. CCMP1375	unannotated	16	0	0.0		1.0	False
proteus_mirabilis_hi4320_gca_000069965	Proteus mirabilis HI4320	with_signal_peptide	0	0				
proteus_mirabilis_hi4320_gca_000069965	Proteus mirabilis HI4320	without_signal_peptide	0	0				
proteus_mirabilis_hi4320_gca_000069965	Proteus mirabilis HI4320	unannotated	32	3	9.38	3.103	0.318501	False
pseudomonas_aeruginosa	Pseudomonas aeruginosa	with_signal_peptide	8	2	25.0	inf	0.266667	False
pseudomonas_aeruginosa	Pseudomonas aeruginosa	without_signal_peptide	40	4	10.0	2.111	0.33758	False
pseudomonas_aeruginosa	Pseudomonas aeruginosa	unannotated	0	0				
ralstonia_solanacearum_gmi1000_gca_000009125	Ralstonia solanacearum GMI1000	with_signal_peptide	0	0				
ralstonia_solanacearum_gmi1000_gca_000009125	Ralstonia solanacearum GMI1000	without_signal_peptide	0	0				
ralstonia_solanacearum_gmi1000_gca_000009125	Ralstonia solanacearum GMI1000	unannotated	42	6	14.29	3.25	0.140092	False
rhizobium_leguminosarum_bv_viciae_3841_gca_000009265	Rhizobium leguminosarum bv. viciae 3841	with_signal_peptide	0	0				
rhizobium_leguminosarum_bv_viciae_3841_gca_000009265	Rhizobium leguminosarum bv. viciae 3841	without_signal_peptide	0	0				
rhizobium_leguminosarum_bv_viciae_3841_gca_000009265	Rhizobium leguminosarum bv. viciae 3841	unannotated	65	8	12.31	2.854	0.107917	False
rhodobacter_sphaeroides_2_4_1_gca_000012905	Rhodobacter sphaeroides 2.4.1	with_signal_peptide	0	0				
rhodobacter_sphaeroides_2_4_1_gca_000012905	Rhodobacter sphaeroides 2.4.1	without_signal_peptide	0	0				
rhodobacter_sphaeroides_2_4_1_gca_000012905	Rhodobacter sphaeroides 2.4.1	unannotated	35	2	5.71	2.0	0.511032	False
rhodopirellula_baltica_sh_1_gca_000196115	Rhodopirellula baltica SH 1	with_signal_peptide	0	0				
rhodopirellula_baltica_sh_1_gca_000196115	Rhodopirellula baltica SH 1	without_signal_peptide	0	0				
rhodopirellula_baltica_sh_1_gca_000196115	Rhodopirellula baltica SH 1	unannotated	100	7	7.0	1.43	0.383672	False
rhodospirillum_rubrum_atcc_11170_gca_000013085	Rhodospirillum rubrum ATCC 11170	with_signal_peptide	0	0				
rhodospirillum_rubrum_atcc_11170_gca_000013085	Rhodospirillum rubrum ATCC 11170	without_signal_peptide	0	0				
rhodospirillum_rubrum_atcc_11170_gca_000013085	Rhodospirillum rubrum ATCC 11170	unannotated	44	7	15.91	3.878	0.083704	False
rickettsia_prowazekii_str_madrid_e_gca_000195735	Rickettsia prowazekii str. Madrid E	with_signal_peptide	0	0				
rickettsia_prowazekii_str_madrid_e_gca_000195735	Rickettsia prowazekii str. Madrid E	without_signal_peptide	0	0				
rickettsia_prowazekii_str_madrid_e_gca_000195735	Rickettsia prowazekii str. Madrid E	unannotated	5	2	40.0	inf	0.277778	False
salinibacter_ruber_dsm_13855_gca_000013045	Salinibacter ruber DSM 13855	with_signal_peptide	0	0				
salinibacter_ruber_dsm_13855_gca_000013045	Salinibacter ruber DSM 13855	without_signal_peptide	0	0				
salinibacter_ruber_dsm_13855_gca_000013045	Salinibacter ruber DSM 13855	unannotated	41	13	31.71	8.821	0.001868	True
salmonella_typhimurium	Salmonella typhimurium	with_signal_peptide	0	0				
salmonella_typhimurium	Salmonella typhimurium	without_signal_peptide	0	0				
salmonella_typhimurium	Salmonella typhimurium	unannotated	30	3	10.0	3.111	0.318912	False
shigella_dysenteriae_sd197_gca_000012005	Shigella dysenteriae Sd197	with_signal_peptide	0	0				
shigella_dysenteriae_sd197_gca_000012005	Shigella dysenteriae Sd197	without_signal_peptide	0	0				
shigella_dysenteriae_sd197_gca_000012005	Shigella dysenteriae Sd197	unannotated	20	1	5.0	1.0	0.75641	False
sinorhizobium_meliloti_1021_gca_000006965	Sinorhizobium meliloti 1021	with_signal_peptide	0	0				
sinorhizobium_meliloti_1021_gca_000006965	Sinorhizobium meliloti 1021	without_signal_peptide	0	0				
sinorhizobium_meliloti_1021_gca_000006965	Sinorhizobium meliloti 1021	unannotated	65	8	12.31	2.854	0.107917	False
staphylococcus_aureus	Staphylococcus aureus	with_signal_peptide	3	1	33.33	inf	0.6	False
staphylococcus_aureus	Staphylococcus aureus	without_signal_peptide	18	1	5.56	inf	0.514286	False
staphylococcus_aureus	Staphylococcus aureus	unannotated	0	0				
stenotrophomonas_maltophilia_k279a_gca_000072485	Stenotrophomonas maltophilia K279a	with_signal_peptide	0	0				
stenotrophomonas_maltophilia_k279a_gca_000072485	Stenotrophomonas maltophilia K279a	without_signal_peptide	0	0				
stenotrophomonas_maltophilia_k279a_gca_000072485	Stenotrophomonas maltophilia K279a	unannotated	61	9	14.75	3.288	0.066636	False
streptococcus_pneumoniae	Streptococcus pneumoniae	with_signal_peptide	1	0	0.0		1.0	False
streptococcus_pneumoniae	Streptococcus pneumoniae	without_signal_peptide	8	1	12.5	inf	0.533333	False
streptococcus_pneumoniae	Streptococcus pneumoniae	unannotated	0	0				
streptomyces_avermitilis	Streptomyces avermitilis	with_signal_peptide	0	0				
streptomyces_avermitilis	Streptomyces avermitilis	without_signal_peptide	0	0				
streptomyces_avermitilis	Streptomyces avermitilis	unannotated	109	21	19.27	4.916	0.000712	True
