species_key	display_name	phylum	n_lcr	n_nterm	n_cterm	pct_nterm	pct_cterm	nterm_or	nterm_p	nterm_sig	cterm_or	cterm_p	cterm_sig	asymmetry_ratio	log_odds_asymmetry	low_conf_asymmetry
adiantum_capillus_veneris	Adiantum capillus-veneris	Viridiplantae	1079	177	71	16.4	6.58	3.795	0.0	True	1.362	0.058373	False	2.493	0.9093	False
adineta_vaga	Adineta vaga	Rotifera	3887	274	343	7.05	8.82	1.443	8.1e-05	True	1.842	0.0	True	0.799	-0.2242	False
aedes_aegypti_lvpagwg	Aedes aegypti	Insecta	1255	111	125	8.84	9.96	1.865	7.3e-05	True	2.127	1e-06	True	0.888	-0.1183	False
aedes_albopictus_gca035046485v1rs	Aedes albopictus	Insecta	1860	191	160	10.27	8.6	2.174	0.0	True	1.788	8e-06	True	1.194	0.1766	False
aegilops_tauschii	Aegilops tauschii	Viridiplantae	2266	416	151	18.36	6.66	4.282	0.0	True	1.36	0.009491	True	2.755	1.0113	False
aegilops_umbellulata	Aegilops umbellulata	Viridiplantae	2329	572	148	24.56	6.35	6.208	0.0	True	1.294	0.024858	True	3.865	1.3494	False
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Bacteria	53	12	5	22.64	9.43	7.317	0.004359	True	2.604	0.226405	False	2.4	0.821	True
aeropyrum_pernix_k1_gca_000011125	Aeropyrum pernix K1	Archaea	22	2	5	9.09	22.73	2.0	0.517867	False	5.882	0.10295	False	0.4	-0.7885	True
aethina_tumida_gca024364675v1rs	Aethina tumida	Insecta	605	50	61	8.26	10.08	1.724	0.013961	True	2.145	0.000504	True	0.82	-0.1971	False
agrilus_planipennis_gca000699045v2	Agrilus planipennis	Insecta	609	50	78	8.21	12.81	1.723	0.013977	True	2.83	1e-06	True	0.641	-0.4411	False
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	Bacteria	40	4	7	10.0	17.5	2.111	0.33758	False	4.03	0.077152	False	0.571	-0.5108	True
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	Bacteria	39	4	4	10.26	10.26	4.229	0.187333	False	4.229	0.187333	False	1.0	0.0	True
amblyomma_americanum_gca030143305v2gb	Amblyomma americanum	Chelicerata	1919	110	107	5.73	5.58	1.167	0.15837	False	1.133	0.214399	False	1.028	0.0275	False
amblyteles_armatorius_gca933228735v1	Amblyteles armatorius	Insecta	845	75	62	8.88	7.34	1.86	0.001048	True	1.512	0.027384	True	1.21	0.189	False
amborella_trichopoda	Amborella trichopoda	Viridiplantae	828	117	67	14.13	8.09	3.155	0.0	True	1.688	0.006377	True	1.746	0.5543	False
amphibalanus_amphitrite_gca019059575v1	Amphibalanus amphitrite	Crustacea	2449	249	217	10.17	8.86	2.158	0.0	True	1.854	0.0	True	1.147	0.1373	False
amphimedon_queenslandica_gca000090795v2rs	Amphimedon queenslandica	Porifera	1216	139	136	11.43	11.18	2.484	0.0	True	2.424	0.0	True	1.022	0.0217	False
amyelois_transitella_gca032362555v1rs	Amyelois transitella	Insecta	541	56	63	10.35	11.65	2.194	0.000649	True	2.504	5.1e-05	True	0.889	-0.1168	False
ananas_comosus	Ananas comosus	Viridiplantae	3725	704	169	18.9	4.54	4.433	0.0	True	0.904	0.836836	False	4.166	1.4246	False
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	Bacteria	5	0	1	0.0	20.0		1.0	False	inf	0.555556	False	0.0	-1.0986	True
anastrepha_ludens_gca028408465v1rs	Anastrepha ludens	Insecta	1416	130	116	9.18	8.19	1.942	7e-06	True	1.715	0.000309	True	1.121	0.1135	False
anastrepha_obliqua_gca027943255v1rs	Anastrepha obliqua	Insecta	1423	120	101	8.43	7.1	1.752	0.000155	True	1.454	0.011285	True	1.188	0.1716	False
ancistrocerus_nigricornis_gca916049575v1	Ancistrocerus nigricornis	Insecta	681	61	37	8.96	5.43	1.869	0.002779	True	1.092	0.406261	False	1.649	0.4947	False
angomonas_deanei_gca_000442575	Angomonas deanei	Euglenozoa	1806	82	446	4.54	24.7	0.906	0.760143	False	6.249	0.0	True	0.184	-1.6886	False
anneissia_japonica_gca011630105v1	Anneissia japonica	Echinodermata	669	79	58	11.81	8.67	2.577	4e-06	True	1.827	0.004513	True	1.362	0.3067	False
anopheles_albimanus_gca013758885v1rs	Anopheles albimanus	Insecta	2529	211	167	8.34	6.6	1.735	1e-06	True	1.348	0.008041	True	1.263	0.2332	False
anopheles_arabiensis	Anopheles arabiensis	Insecta	2260	169	172	7.48	7.61	1.536	0.000347	True	1.565	0.000185	True	0.983	-0.0175	False
anopheles_atroparvus_gca914969975	Anopheles atroparvus	Insecta	2039	165	132	8.09	6.47	1.689	3.1e-05	True	1.327	0.021578	True	1.25	0.2224	False
anopheles_christyi	Anopheles christyi	Insecta	1496	113	114	7.55	7.62	1.569	0.002029	True	1.584	0.001629	True	0.991	-0.0088	False
anopheles_coluzzii_gca943734685v1rs	Anopheles coluzzii	Insecta	2281	185	172	8.11	7.54	1.677	1.3e-05	True	1.55	0.000244	True	1.076	0.0727	False
anopheles_culicifacies	Anopheles culicifacies	Insecta	1590	90	108	5.66	6.79	1.147	0.215878	False	1.393	0.01747	True	0.833	-0.1814	False
anopheles_darlingi_gca943734745v1rs	Anopheles darlingi	Insecta	2659	241	173	9.06	6.51	1.907	0.0	True	1.332	0.009179	True	1.393	0.3307	False
anopheles_dirus	Anopheles dirus	Insecta	2314	171	159	7.39	6.87	1.525	0.000386	True	1.41	0.003692	True	1.075	0.0725	False
anopheles_epiroticus	Anopheles epiroticus	Insecta	1818	144	125	7.92	6.88	1.651	0.000165	True	1.417	0.008417	True	1.152	0.141	False
anopheles_farauti	Anopheles farauti	Insecta	2593	179	169	6.9	6.52	1.416	0.001986	True	1.331	0.010004	True	1.059	0.0573	False
anopheles_funestus_gca943734845v1rs	Anopheles funestus	Insecta	1598	139	108	8.7	6.76	1.831	1.6e-05	True	1.393	0.017484	True	1.287	0.2513	False
anopheles_gambiae	Anopheles gambiae	Insecta	2251	178	170	7.91	7.55	1.639	3.8e-05	True	1.559	0.000222	True	1.047	0.0459	False
anopheles_maculatus	Anopheles maculatus	Insecta	1596	76	106	4.76	6.64	0.959	0.630527	False	1.365	0.024569	True	0.717	-0.3309	False
anopheles_melas	Anopheles melas	Insecta	2611	189	198	7.24	7.58	1.489	0.000396	True	1.565	6.4e-05	True	0.955	-0.0464	False
anopheles_merus	Anopheles merus	Insecta	2413	203	179	8.41	7.42	1.754	1e-06	True	1.53	0.000261	True	1.134	0.1255	False
anopheles_minimus	Anopheles minimus	Insecta	1578	110	103	6.97	6.53	1.44	0.009875	True	1.342	0.033268	True	1.068	0.0654	False
anopheles_quadriannulatus_gca000349065v1vb	Anopheles quadriannulatus	Insecta	2272	174	159	7.66	7.0	1.584	0.000123	True	1.437	0.002434	True	1.094	0.0899	False
anopheles_sinensis	Anopheles sinensis	Insecta	1762	122	120	6.92	6.81	1.414	0.009443	True	1.389	0.013389	True	1.017	0.0165	False
anopheles_stephensi_indian	Anopheles stephensi	Insecta	2023	141	158	6.97	7.81	1.425	0.004853	True	1.611	0.000156	True	0.892	-0.1135	False
anoplophora_glabripennis	Anoplophora glabripennis	Insecta	476	37	52	7.77	10.92	1.656	0.041839	True	2.41	0.000344	True	0.712	-0.3365	False
anthonomus_grandis_gca022605725v3rs	Anthonomus grandis grandis	Insecta	556	60	52	10.79	9.35	2.366	0.000159	True	2.018	0.002466	True	1.154	0.1418	False
aphanomyces_astaci_gca000520075	Aphanomyces astaci	Oomycota	926	114	104	12.31	11.23	2.683	0.0	True	2.418	0.0	True	1.096	0.0914	False
aphanomyces_invadans_gca000520115	Aphanomyces invadans	Oomycota	475	72	56	15.16	11.79	3.503	0.0	True	2.621	7.3e-05	True	1.286	0.2493	False
aphidius_gifuensis_gca014905175v1	Aphidius gifuensis	Insecta	1862	116	121	6.23	6.5	1.263	0.059005	False	1.321	0.028795	True	0.959	-0.042	False
apis_dorsata_gca000469605v1rs	Apis dorsata	Insecta	1038	58	62	5.59	5.97	1.144	0.279286	False	1.228	0.167998	False	0.935	-0.0661	False
apis_florea_gca000184785v2rs	Apis florea	Insecta	905	66	66	7.29	7.29	1.502	0.025169	True	1.502	0.025169	True	1.0	0.0	False
apis_mellifera	Apis mellifera	Insecta	930	78	58	8.39	6.24	1.757	0.001938	True	1.277	0.134654	False	1.345	0.2941	False
aplysia_californica_gca000002075v2	Aplysia californica	Mollusca	1978	131	177	6.62	8.95	1.36	0.014727	True	1.884	0.0	True	0.74	-0.3	False
aquifex_aeolicus	Aquifex aeolicus	Bacteria	15	5	2	33.33	13.33	inf	0.025287	True	inf	0.258621	False	2.5	0.7885	True
arabidopsis_halleri	Arabidopsis halleri	Viridiplantae	1833	257	146	14.02	7.97	3.12	0.0	True	1.656	0.000138	True	1.76	0.564	False
arabidopsis_lyrata	Arabidopsis lyrata	Viridiplantae	1704	246	134	14.44	7.86	3.212	0.0	True	1.625	0.000389	True	1.836	0.6058	False
arabidopsis_thaliana	Arabidopsis thaliana	Viridiplantae	1696	264	137	15.57	8.08	3.536	0.0	True	1.685	0.000143	True	1.927	0.6542	False
arabis_alpina	Arabis alpina	Viridiplantae	1569	232	129	14.79	8.22	3.315	0.0	True	1.711	0.000155	True	1.798	0.5852	False
arachis_hypogaea	Arachis hypogaea	Viridiplantae	5376	886	312	16.48	5.8	3.76	0.0	True	1.174	0.033332	True	2.84	1.0427	False
archaeoglobus_fulgidus	Archaeoglobus fulgidus	Archaea	27	9	0	33.33	0.0	12.5	0.006682	True	0.0	1.0	False		2.9444	True
argiope_bruennichi_gca947563725v1rs	Argiope bruennichi	Chelicerata	633	49	82	7.74	12.95	1.627	0.024901	True	2.885	0.0	True	0.598	-0.5108	False
aristolochia_fimbriata	Aristolochia fimbriata	Viridiplantae	1345	159	83	11.82	6.17	2.555	0.0	True	1.254	0.104544	False	1.916	0.6472	False
ascaris_suum	Ascaris suum	Nematoda	418	38	47	9.09	11.24	1.985	0.010239	True	2.515	0.000421	True	0.809	-0.2101	False
asparagus_officinalis	Asparagus officinalis	Viridiplantae	1988	269	218	13.53	10.97	2.984	0.0	True	2.349	0.0	True	1.234	0.2098	False
aspergillus_fumigatus	Aspergillus fumigatus	Fungi	360	41	41	11.39	11.39	2.442	0.001268	True	2.442	0.001268	True	1.0	0.0	False
aspergillus_nidulans	Aspergillus nidulans	Fungi	344	21	43	6.1	12.5	1.247	0.311836	False	2.739	0.000325	True	0.488	-0.7047	False
asterias_rubens_gca902459465v3	Asterias rubens	Echinodermata	738	71	70	9.62	9.49	2.073	0.000301	True	2.041	0.000414	True	1.014	0.0141	False
athalia_rosae_gca917208135v1	Athalia rosae	Insecta	807	76	64	9.42	7.93	1.991	0.000351	True	1.65	0.009834	True	1.188	0.1706	False
atta_cephalotes	Atta cephalotes	Insecta	836	82	51	9.81	6.1	2.106	8.2e-05	True	1.258	0.168708	False	1.608	0.4712	False
aureococcus_anophagefferens_gca_000186865	Aureococcus anophagefferens	Protist	617	61	74	9.89	11.99	2.143	0.000509	True	2.662	4e-06	True	0.824	-0.1918	False
avena_atlantica_gca910589765v1cm	Avena atlantica CC7277	Viridiplantae	3158	689	167	21.82	5.29	5.332	0.0	True	1.067	0.304912	False	4.126	1.415	False
avena_byzantina_gca910574625v1cm	Avena byzantina PI258586	Viridiplantae	8447	1927	428	22.81	5.07	5.62	0.0	True	1.015	0.430855	False	4.502	1.5037	False
avena_eriantha_gca910589775v1cm	Avena eriantha BYU132	Viridiplantae	2426	575	139	23.7	5.73	5.915	0.0	True	1.157	0.139988	False	4.137	1.4172	False
avena_insularis_gca910574615v1cm	Avena insularis BYU209	Viridiplantae	5963	1329	313	22.29	5.25	5.451	0.0	True	1.053	0.281195	False	4.246	1.4448	False
avena_longiglumis_gca910589755v1cm	Avena longiglumis CN58138	Viridiplantae	3714	708	175	19.06	4.71	4.492	0.0	True	0.943	0.724704	False	4.046	1.3955	False
avena_occidentalis_gca947310975v1cm	Avena occidentalis CN25955	Viridiplantae	9018	1880	482	20.85	5.34	5.014	0.0	True	1.075	0.148936	False	3.9	1.3603	False
avena_sativa_gca947310255v1cm	Avena magna x Avena longiglumis	Viridiplantae	9458	1948	480	20.6	5.08	4.938	0.0	True	1.018	0.408613	False	4.058	1.4	False
avena_sativa_sang	Avena sativa Sang	Viridiplantae	7223	1433	702	19.84	9.72	4.704	0.0	True	2.046	0.0	True	2.041	0.7132	False
avena_sterilis_gca947313515v1cm	Avena sterilis TN4	Viridiplantae	9470	2023	492	21.36	5.2	5.167	0.0	True	1.042	0.276565	False	4.112	1.4131	False
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	Bacteria	39	6	3	15.38	7.69	6.727	0.057951	False	3.083	0.317403	False	2.0	0.619	True
babesia_bigemina_gca_000981445	Babesia bigemina str. Bond	Apicomplexa	92	7	5	7.61	5.43	1.791	0.274307	False	1.25	0.506876	False	1.4	0.3102	True
babesia_bovis	Babesia bovis T2Bo	Apicomplexa	54	8	6	14.81	11.11	4.435	0.049507	True	3.188	0.141177	False	1.333	0.2683	True
babesia_ovata_gca_002897235	Babesia ovata str. Miyake	Apicomplexa	79	9	5	11.39	6.33	3.214	0.068162	False	1.689	0.366799	False	1.8	0.5465	True
babesia_sp_xinjiang_gca_002095265	Babesia sp. Xinjiang	Apicomplexa	57	5	6	8.77	10.53	2.596	0.226427	False	3.176	0.14137	False	0.833	-0.1671	True
bacillus_subtilis	Bacillus subtilis	Bacteria	29	2	3	6.9	10.34	2.0	0.513397	False	3.115	0.319139	False	0.667	-0.3365	True
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	Bacteria	49	14	3	28.57	6.12	9.2	0.00106	True	1.5	0.509872	False	4.667	1.4214	True
bactrocera_dorsalis_gca023373825v1rs	Bactrocera dorsalis	Insecta	1354	143	101	10.56	7.46	2.267	0.0	True	1.547	0.004259	True	1.416	0.3463	False
bactrocera_latifrons_gca001853355v1	Bactrocera latifrons	Insecta	1290	115	96	8.91	7.44	1.873	5e-05	True	1.539	0.005674	True	1.198	0.1797	False
bactrocera_neohumeralis_gca024586455v2rs	Bactrocera neohumeralis	Insecta	1333	125	97	9.38	7.28	1.985	6e-06	True	1.505	0.007642	True	1.289	0.2525	False
bactrocera_oleae_gca042242935v1rs	Bactrocera oleae	Insecta	745	63	49	8.46	6.58	1.765	0.004765	True	1.345	0.111982	False	1.286	0.2491	False
bactrocera_tryoni_gca016617805v2	Bactrocera tryoni	Insecta	1295	110	100	8.49	7.72	1.784	0.000197	True	1.608	0.002344	True	1.1	0.0949	False
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	Bacteria	15	1	3	6.67	20.0	inf	0.517241	False	inf	0.124521	False	0.333	-0.8473	True
belgica_antarctica	Belgica antarctica	Insecta	664	35	72	5.27	10.84	1.062	0.453049	False	2.322	4.9e-05	True	0.486	-0.7141	False
bemisia_tabaci_uganda1	Bemisia tabaci	Insecta	335	32	43	9.55	12.84	2.099	0.012208	True	2.927	0.000169	True	0.744	-0.2915	False
besnoitia_besnoiti_gca_002563875	Besnoitia besnoiti str. Bb-Ger1	Apicomplexa	252	25	23	9.92	9.13	2.193	0.020175	True	2.0	0.040253	True	1.087	0.0817	False
beta_vulgaris	Beta vulgaris	Viridiplantae	1469	229	59	15.59	4.02	3.529	0.0	True	0.8	0.909967	False	3.881	1.3499	False
bicyclus_anynana_gca947172395v1	Bicyclus anynana	Insecta	620	60	62	9.68	10.0	2.036	0.001071	True	2.111	0.000559	True	0.968	-0.0325	False
bifidobacterium_longum_ncc2705_gca_000007525	Bifidobacterium longum NCC2705	Bacteria	24	2	3	8.33	12.5	2.0	0.516312	False	3.143	0.320567	False	0.667	-0.3365	True
bigelowiella_natans	Bigelowiella natans	Rhizaria	5038	286	298	5.68	5.92	1.148	0.066053	False	1.199	0.021823	True	0.96	-0.041	False
biomphalaria_glabrata_gca947242115v1rs	Biomphalaria glabrata	Mollusca	768	65	86	8.46	11.2	1.774	0.003941	True	2.419	4e-06	True	0.756	-0.2781	False
blastocystis_hominis_gca_000151665	Blastocystis hominis str. Singapore isolate B	Protist	205	8	22	3.9	10.73	0.788	0.767977	False	2.332	0.021414	True	0.364	-0.9734	False
bolinopsis_microptera	Bolinopsis microptera	Ctenophora	567	69	54	12.17	9.52	2.662	9e-06	True	2.023	0.002008	True	1.278	0.2431	False
bombus_affinis_gca024516045v2rs	Bombus affinis	Insecta	783	64	63	8.17	8.05	1.696	0.007168	True	1.667	0.009224	True	1.016	0.0156	False
bombus_huntii_gca024542735v1rs	Bombus huntii	Insecta	872	55	62	6.31	7.11	1.296	0.127521	False	1.474	0.035233	True	0.887	-0.1188	False
bombus_impatiens	Bombus impatiens	Insecta	864	69	62	7.99	7.18	1.655	0.007252	True	1.474	0.035196	True	1.113	0.1062	False
bombus_terrestris_gca910591885v2	Bombus terrestris	Insecta	898	70	49	7.8	5.46	1.639	0.007737	True	1.119	0.33719	False	1.429	0.3536	False
bombus_vancouverensis_gca011952275v1rs	Bombus vancouverensis nearcticus	Insecta	795	65	57	8.18	7.17	1.724	0.005558	True	1.495	0.036997	True	1.14	0.1303	False
bombyx_mandarina_gca003987935v1rs	Bombyx mandarina	Insecta	454	35	48	7.71	10.57	1.636	0.050831	False	2.316	0.000875	True	0.729	-0.312	False
bombyx_mori_gca030269925v1rs	Bombyx mori	Insecta	490	43	57	8.78	11.63	1.864	0.011295	True	2.551	9e-05	True	0.754	-0.279	False
borrelia_burgdorferi	Borrelia burgdorferi	Bacteria	6	1	1	16.67	16.67	inf	0.545455	False	inf	0.545455	False	1.0	0.0	True
borreliella_burgdorferi_b31_gca_000008685	Borreliella burgdorferi B31	Bacteria	6	1	1	16.67	16.67	inf	0.545455	False	inf	0.545455	False	1.0	0.0	True
brachionus_plicatilis	Brachionus plicatilis	Rotifera	1264	53	111	4.19	8.78	0.834	0.853148	False	1.834	0.000105	True	0.477	-0.7343	False
brachypodium_distachyon	Brachypodium distachyon	Viridiplantae	2542	552	145	21.72	5.7	5.273	0.0	True	1.15	0.145436	False	3.807	1.3343	False
bradyrhizobium_diazoefficiens_usda_110_gca_000011365	Bradyrhizobium diazoefficiens USDA 110	Bacteria	79	9	6	11.39	7.59	3.214	0.068162	False	2.055	0.253801	False	1.5	0.3795	True
bradysia_coprophila_gca014529535v1rs	Bradysia coprophila	Insecta	698	62	71	8.88	10.17	1.901	0.00209	True	2.208	0.000118	True	0.873	-0.1345	False
branchiostoma_lanceolatum	Branchiostoma lanceolatum	Chordata	1121	83	94	7.4	8.39	1.519	0.011402	True	1.739	0.000858	True	0.883	-0.1238	False
brassica_juncea	Brassica juncea	Viridiplantae	4258	566	309	13.29	7.26	2.925	0.0	True	1.493	7e-06	True	1.832	0.6045	False
brassica_napus	Brassica napus	Viridiplantae	5128	762	401	14.86	7.82	3.321	0.0	True	1.614	0.0	True	1.9	0.6414	False
brassica_oleracea	Brassica oleracea	Viridiplantae	3140	418	222	13.31	7.07	2.918	0.0	True	1.446	0.000339	True	1.883	0.6317	False
brassica_rapa_ro18	Brassica rapa R-o-18	Viridiplantae	2359	341	164	14.46	6.95	3.237	0.0	True	1.431	0.002318	True	2.079	0.7304	False
brucella_abortus_bv_1_str_9_941_gca_000008145	Brucella abortus bv. 1 str. 9-941	Bacteria	23	2	4	8.7	17.39	2.0	0.517054	False	4.421	0.186992	False	0.5	-0.5878	True
brugia_malayi	Brugia malayi	Nematoda	608	54	48	8.88	7.89	1.875	0.004574	True	1.649	0.023413	True	1.125	0.1166	False
buchnera_aphidicola_str_aps_acyrthosiphon_pisum__gca_000009605	Buchnera aphidicola str. APS	Bacteria	3	0	2	0.0	66.67		1.0	False	inf	0.3	False	0.0	-1.6094	True
burkholderia_pseudomallei_1710b_gca_000012785	Burkholderia pseudomallei 1710b	Bacteria	70	13	10	18.57	14.29	5.018	0.007909	True	3.667	0.040928	True	1.3	0.2513	False
caenorhabditis_brenneri	Caenorhabditis brenneri	Nematoda	1263	141	146	11.16	11.56	2.392	0.0	True	2.488	0.0	True	0.966	-0.0347	False
caenorhabditis_briggsae	Caenorhabditis briggsae	Nematoda	816	76	91	9.31	11.15	1.99	0.000353	True	2.432	2e-06	True	0.835	-0.179	False
caenorhabditis_elegans	Caenorhabditis elegans	Nematoda	806	99	95	12.28	11.79	2.678	0.0	True	2.555	0.0	True	1.042	0.041	False
caenorhabditis_japonica	Caenorhabditis japonica	Nematoda	1365	120	172	8.79	12.6	1.837	5.4e-05	True	2.748	0.0	True	0.698	-0.3587	False
caenorhabditis_remanei_gca010183535v1rs	Caenorhabditis remanei	Nematoda	838	94	81	11.22	9.67	2.453	1e-06	True	2.077	0.000113	True	1.16	0.148	False
cajanus_cajan_gca000340665v2gb	Cajanus cajan	Viridiplantae	1627	211	121	12.97	7.44	2.842	0.0	True	1.533	0.002282	True	1.744	0.5543	False
camelina_sativa	Camelina sativa	Viridiplantae	6224	961	463	15.44	7.44	3.471	0.0	True	1.528	0.0	True	2.076	0.7297	False
camponotus_floridanus_gca003227725v1rs	Camponotus floridanus	Insecta	890	100	68	11.24	7.64	2.431	1e-06	True	1.589	0.012385	True	1.471	0.3833	False
campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819_gca_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Bacteria	10	4	1	40.0	10.0	inf	0.05418	False	inf	0.526316	False	4.0	1.0986	True
candida_albicans	Candida albicans	Fungi	842	53	62	6.29	7.36	1.278	0.146782	False	1.512	0.027371	True	0.855	-0.1555	False
candidatus_korarchaeum_cryptofilum_opf8_gca_000019605	Candidatus Korarchaeum cryptofilum OPF8	Archaea	8	2	0	25.0	0.0	inf	0.266667	False		1.0	False		1.6094	True
candidatus_koribacter_versatilis_ellin345_gca_000014005	Candidatus Koribacter versatilis Ellin345	Bacteria	67	9	7	13.43	10.45	3.259	0.067241	False	2.45	0.168496	False	1.286	0.2364	True
cannabis_sativa_female	Cannabis sativa female	Viridiplantae	1163	176	63	15.13	5.42	3.394	0.0	True	1.09	0.356282	False	2.794	1.0223	False
capitella_teleta	Capitella teleta	Annelida	1244	105	133	8.44	10.69	1.756	0.000369	True	2.28	0.0	True	0.789	-0.2354	False
capsaspora_owczarzaki	Capsaspora owczarzaki	Protist	1926	269	81	13.97	4.21	3.093	0.0	True	0.836	0.891598	False	3.321	1.196	False
capsicum_annuum	Capsicum annuum	Viridiplantae	1583	239	112	15.1	7.08	3.383	0.0	True	1.449	0.008459	True	2.134	0.7556	False
cataglyphis_hispanica_gca021464435v1rs	Cataglyphis hispanica	Insecta	839	95	64	11.32	7.63	2.482	1e-06	True	1.605	0.013299	True	1.484	0.3925	False
caulobacter_crescentus	Caulobacter crescentus	Bacteria	30	2	5	6.67	16.67	2.0	0.512935	False	5.6	0.104898	False	0.4	-0.7885	True
caulobacter_vibrioides_cb15_gca_000006905	Caulobacter vibrioides CB15	Bacteria	30	2	5	6.67	16.67	2.0	0.512935	False	5.6	0.104898	False	0.4	-0.7885	True
cavenderia_fasciculata_gca_000203815	Cavenderia fasciculata str. SH3	Amoebozoa	4530	604	325	13.33	7.17	2.929	0.0	True	1.472	8e-06	True	1.858	0.619	False
cenarchaeum_symbiosum_a_gca_000200715	Cenarchaeum symbiosum A	Archaea	38	4	5	10.53	13.16	4.235	0.187324	False	5.455	0.105943	False	0.8	-0.2007	True
centruroides_sculpturatus_gca000671375v2	Centruroides sculpturatus	Chelicerata	789	69	76	8.75	9.63	1.84	0.001871	True	2.047	0.000229	True	0.908	-0.096	False
ceratitis_capitata_gca000347755v4	Ceratitis capitata	Insecta	993	81	81	8.16	8.16	1.709	0.002418	True	1.709	0.002418	True	1.0	0.0	False
ceratodon_purpureus	Ceratodon purpureus	Viridiplantae	913	150	70	16.43	7.67	3.788	0.0	True	1.6	0.010376	True	2.143	0.7584	False
ceratopteris_richardii	Ceratopteris richardii	Viridiplantae	1234	156	119	12.64	9.64	2.78	0.0	True	2.051	4e-06	True	1.311	0.2697	False
chamberlinius_hualienensis	Chamberlinius hualienensis	Myriapoda	781	81	52	10.37	6.66	2.199	4.4e-05	True	1.355	0.098405	False	1.558	0.4398	False
chara_braunii	Chara braunii	Viridiplantae	6278	474	387	7.55	6.16	1.556	0.0	True	1.252	0.00226	True	1.225	0.2025	False
chelonus_insularis_gca013357705v1rs	Chelonus insularis	Insecta	650	55	60	8.46	9.23	1.782	0.007248	True	1.961	0.001693	True	0.917	-0.0863	False
chenopodium_quinoa	Chenopodium quinoa	Viridiplantae	915	167	52	18.25	5.68	4.311	0.0	True	1.164	0.267567	False	3.212	1.1602	False
cherax_quadricarinatus_gca038502225v1rs	Cherax quadricarinatus	Crustacea	1965	242	141	12.32	7.18	2.674	0.0	True	1.472	0.002514	True	1.716	0.5387	False
chlamydia_trachomatis_d_uw_3_cx_gca_000008725	Chlamydia trachomatis D/UW-3/CX	Bacteria	15	0	4	0.0	26.67		1.0	False	inf	0.057471	False	0.0	-2.1972	True
chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	Chlorophyta	5150	174	379	3.38	7.36	0.666	0.999983	False	1.512	0.0	True	0.459	-0.7769	False
chlorella_variabilis	Chlorella variabilis	Chlorophyta	1186	94	124	7.93	10.46	1.643	0.002211	True	2.228	0.0	True	0.758	-0.2757	False
