species_key	display_name	phylum	n_lcr	n_terminal	pct_terminal	odds_ratio	pvalue	significant
aphanomyces_invadans_gca000520115	Aphanomyces invadans	Oomycota	475	128	26.95	3.351	0.0	True
aphidius_gifuensis_gca014905175v1	Aphidius gifuensis	Insecta	1862	237	12.73	1.313	0.00496	True
apis_dorsata_gca000469605v1rs	Apis dorsata	Insecta	1038	120	11.56	1.185	0.129959	False
apis_florea_gca000184785v2rs	Apis florea	Insecta	905	132	14.59	1.544	0.001664	True
apis_mellifera	Apis mellifera	Insecta	930	136	14.62	1.542	0.001487	True
aplysia_californica_gca000002075v2	Aplysia californica	Mollusca	1978	308	15.57	1.666	0.0	True
aquifex_aeolicus	Aquifex aeolicus	Bacteria	15	7	46.67	11.375	0.022489	True
arabidopsis_halleri	Arabidopsis halleri	Viridiplantae	1833	403	21.99	2.539	0.0	True
arabidopsis_lyrata	Arabidopsis lyrata	Viridiplantae	1704	380	22.3	2.588	0.0	True
arabidopsis_thaliana	Arabidopsis thaliana	Viridiplantae	1696	401	23.64	2.796	0.0	True
arabis_alpina	Arabis alpina	Viridiplantae	1569	361	23.01	2.705	0.0	True
arachis_hypogaea	Arachis hypogaea	Viridiplantae	5376	1198	22.28	2.583	0.0	True
archaeoglobus_fulgidus	Archaeoglobus fulgidus	Archaea	27	9	33.33	6.0	0.023032	True
argiope_bruennichi_gca947563725v1rs	Argiope bruennichi	Chelicerata	633	131	20.7	2.357	0.0	True
aristolochia_fimbriata	Aristolochia fimbriata	Viridiplantae	1345	242	17.99	1.981	0.0	True
ascaris_suum	Ascaris suum	Nematoda	418	85	20.33	2.341	1.5e-05	True
asparagus_officinalis	Asparagus officinalis	Viridiplantae	1988	487	24.5	2.932	0.0	True
aspergillus_fumigatus	Aspergillus fumigatus	Fungi	360	82	22.78	2.655	2e-06	True
aspergillus_nidulans	Aspergillus nidulans	Fungi	344	64	18.6	2.077	0.000771	True
asterias_rubens_gca902459465v3	Asterias rubens	Echinodermata	738	141	19.11	2.148	0.0	True
athalia_rosae_gca917208135v1	Athalia rosae	Insecta	807	140	17.35	1.905	9e-06	True
atta_cephalotes	Atta cephalotes	Insecta	836	133	15.91	1.714	0.000174	True
aureococcus_anophagefferens_gca_000186865	Aureococcus anophagefferens	Protist	617	135	21.88	2.548	0.0	True
avena_atlantica_gca910589765v1cm	Avena atlantica CC7277	Viridiplantae	3158	856	27.11	3.355	0.0	True
avena_byzantina_gca910574625v1cm	Avena byzantina PI258586	Viridiplantae	8447	2355	27.88	3.482	0.0	True
avena_eriantha_gca910589775v1cm	Avena eriantha BYU132	Viridiplantae	2426	714	29.43	3.762	0.0	True
avena_insularis_gca910574615v1cm	Avena insularis BYU209	Viridiplantae	5963	1642	27.54	3.421	0.0	True
avena_longiglumis_gca910589755v1cm	Avena longiglumis CN58138	Viridiplantae	3714	883	23.77	2.81	0.0	True
avena_occidentalis_gca947310975v1cm	Avena occidentalis CN25955	Viridiplantae	9018	2362	26.19	3.197	0.0	True
avena_sativa_gca947310255v1cm	Avena magna x Avena longiglumis	Viridiplantae	9458	2428	25.67	3.111	0.0	True
avena_sativa_sang	Avena sativa Sang	Viridiplantae	7223	2135	29.56	3.778	0.0	True
avena_sterilis_gca947313515v1cm	Avena sterilis TN4	Viridiplantae	9470	2515	26.56	3.254	0.0	True
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	Bacteria	39	9	23.08	3.5	0.062647	False
babesia_bigemina_gca_000981445	Babesia bigemina str. Bond	Apicomplexa	92	12	13.04	1.367	0.331502	False
babesia_bovis	Babesia bovis T2Bo	Apicomplexa	54	14	25.93	3.36	0.022833	True
babesia_ovata_gca_002897235	Babesia ovata str. Miyake	Apicomplexa	79	14	17.72	2.185	0.083914	False
babesia_sp_xinjiang_gca_002095265	Babesia sp. Xinjiang	Apicomplexa	57	11	19.3	2.439	0.094315	False
bacillus_subtilis	Bacillus subtilis	Bacteria	29	5	17.24	2.708	0.225998	False
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	Bacteria	49	17	34.69	5.844	0.001489	True
bactrocera_dorsalis_gca023373825v1rs	Bactrocera dorsalis	Insecta	1354	244	18.02	1.983	0.0	True
bactrocera_latifrons_gca001853355v1	Bactrocera latifrons	Insecta	1290	211	16.36	1.76	1e-06	True
bactrocera_neohumeralis_gca024586455v2rs	Bactrocera neohumeralis	Insecta	1333	222	16.65	1.801	0.0	True
bactrocera_oleae_gca042242935v1rs	Bactrocera oleae	Insecta	745	112	15.03	1.602	0.001879	True
bactrocera_tryoni_gca016617805v2	Bactrocera tryoni	Insecta	1295	210	16.22	1.748	1e-06	True
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	Bacteria	15	4	26.67	4.727	0.186207	False
belgica_antarctica	Belgica antarctica	Insecta	664	107	16.11	1.738	0.000553	True
bemisia_tabaci_uganda1	Bemisia tabaci	Insecta	335	75	22.39	2.631	7e-06	True
besnoitia_besnoiti_gca_002563875	Besnoitia besnoiti str. Bb-Ger1	Apicomplexa	252	48	19.05	2.127	0.002694	True
beta_vulgaris	Beta vulgaris	Viridiplantae	1469	288	19.61	2.208	0.0	True
bicyclus_anynana_gca947172395v1	Bicyclus anynana	Insecta	620	122	19.68	2.205	1e-06	True
bifidobacterium_longum_ncc2705_gca_000007525	Bifidobacterium longum NCC2705	Bacteria	24	5	20.83	2.763	0.225711	False
bigelowiella_natans	Bigelowiella natans	Rhizaria	5038	584	11.59	1.182	0.005138	True
biomphalaria_glabrata_gca947242115v1rs	Biomphalaria glabrata	Mollusca	768	151	19.66	2.225	0.0	True
blastocystis_hominis_gca_000151665	Blastocystis hominis str. Singapore isolate B	Protist	205	30	14.63	1.577	0.089879	False
bolinopsis_microptera	Bolinopsis microptera	Ctenophora	567	123	21.69	2.523	0.0	True
bombus_affinis_gca024516045v2rs	Bombus affinis	Insecta	783	127	16.22	1.747	0.000159	True
bombus_huntii_gca024542735v1rs	Bombus huntii	Insecta	872	117	13.42	1.396	0.015596	True
bombus_impatiens	Bombus impatiens	Insecta	864	131	15.16	1.615	0.000702	True
bombus_terrestris_gca910591885v2	Bombus terrestris	Insecta	898	119	13.25	1.387	0.016488	True
bombus_vancouverensis_gca011952275v1rs	Bombus vancouverensis nearcticus	Insecta	795	122	15.35	1.641	0.000764	True
bombyx_mandarina_gca003987935v1rs	Bombyx mandarina	Insecta	454	83	18.28	2.028	0.000203	True
bombyx_mori_gca030269925v1rs	Bombyx mori	Insecta	490	100	20.41	2.308	4e-06	True
borrelia_burgdorferi	Borrelia burgdorferi	Bacteria	6	2	33.33	inf	0.272727	False
borreliella_burgdorferi_b31_gca_000008685	Borreliella burgdorferi B31	Bacteria	6	2	33.33	inf	0.272727	False
brachionus_plicatilis	Brachionus plicatilis	Rotifera	1264	164	12.97	1.345	0.010601	True
brachypodium_distachyon	Brachypodium distachyon	Viridiplantae	2542	697	27.42	3.401	0.0	True
bradyrhizobium_diazoefficiens_usda_110_gca_000011365	Bradyrhizobium diazoefficiens USDA 110	Bacteria	79	15	18.99	2.377	0.056564	False
bradysia_coprophila_gca014529535v1rs	Bradysia coprophila	Insecta	698	133	19.05	2.142	1e-06	True
branchiostoma_lanceolatum	Branchiostoma lanceolatum	Chordata	1121	177	15.79	1.688	2.7e-05	True
brassica_juncea	Brassica juncea	Viridiplantae	4258	875	20.55	2.332	0.0	True
brassica_napus	Brassica napus	Viridiplantae	5128	1163	22.68	2.644	0.0	True
brassica_oleracea	Brassica oleracea	Viridiplantae	3140	640	20.38	2.304	0.0	True
brassica_rapa_ro18	Brassica rapa R-o-18	Viridiplantae	2359	505	21.41	2.461	0.0	True
brucella_abortus_bv_1_str_9_941_gca_000008145	Brucella abortus bv. 1 str. 9-941	Bacteria	23	6	26.09	3.529	0.135477	False
brugia_malayi	Brugia malayi	Nematoda	608	102	16.78	1.838	0.000266	True
buchnera_aphidicola_str_aps_acyrthosiphon_pisum__gca_000009605	Buchnera aphidicola str. APS	Bacteria	3	2	66.67	inf	0.3	False
burkholderia_pseudomallei_1710b_gca_000012785	Burkholderia pseudomallei 1710b	Bacteria	70	23	32.86	4.404	0.000844	True
caenorhabditis_brenneri	Caenorhabditis brenneri	Nematoda	1263	287	22.72	2.651	0.0	True
caenorhabditis_briggsae	Caenorhabditis briggsae	Nematoda	816	167	20.47	2.332	0.0	True
caenorhabditis_elegans	Caenorhabditis elegans	Nematoda	806	194	24.07	2.873	0.0	True
caenorhabditis_japonica	Caenorhabditis japonica	Nematoda	1365	292	21.39	2.457	0.0	True
caenorhabditis_remanei_gca010183535v1rs	Caenorhabditis remanei	Nematoda	838	175	20.88	2.398	0.0	True
cajanus_cajan_gca000340665v2gb	Cajanus cajan	Viridiplantae	1627	332	20.41	2.317	0.0	True
camelina_sativa	Camelina sativa	Viridiplantae	6224	1424	22.88	2.671	0.0	True
camponotus_floridanus_gca003227725v1rs	Camponotus floridanus	Insecta	890	168	18.88	2.094	0.0	True
campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819_gca_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Bacteria	10	5	50.0	9.0	0.070433	False
candida_albicans	Candida albicans	Fungi	842	115	13.66	1.426	0.011945	True
candidatus_korarchaeum_cryptofilum_opf8_gca_000019605	Candidatus Korarchaeum cryptofilum OPF8	Archaea	8	2	25.0	inf	0.266667	False
candidatus_koribacter_versatilis_ellin345_gca_000014005	Candidatus Koribacter versatilis Ellin345	Bacteria	67	16	23.88	3.137	0.018683	True
cannabis_sativa_female	Cannabis sativa female	Viridiplantae	1163	239	20.55	2.332	0.0	True
capitella_teleta	Capitella teleta	Annelida	1244	238	19.13	2.135	0.0	True
capsaspora_owczarzaki	Capsaspora owczarzaki	Protist	1926	350	18.17	2.005	0.0	True
capsicum_annuum	Capsicum annuum	Viridiplantae	1583	351	22.17	2.568	0.0	True
cataglyphis_hispanica_gca021464435v1rs	Cataglyphis hispanica	Insecta	839	159	18.95	2.127	0.0	True
caulobacter_crescentus	Caulobacter crescentus	Bacteria	30	7	23.33	2.739	0.14949	False
caulobacter_vibrioides_cb15_gca_000006905	Caulobacter vibrioides CB15	Bacteria	30	7	23.33	2.739	0.14949	False
cavenderia_fasciculata_gca_000203815	Cavenderia fasciculata str. SH3	Amoebozoa	4530	929	20.51	2.322	0.0	True
cenarchaeum_symbiosum_a_gca_000200715	Cenarchaeum symbiosum A	Archaea	38	9	23.68	3.517	0.062344	False
centruroides_sculpturatus_gca000671375v2	Centruroides sculpturatus	Chelicerata	789	145	18.38	2.049	1e-06	True
ceratitis_capitata_gca000347755v4	Ceratitis capitata	Insecta	993	162	16.31	1.758	1.8e-05	True
ceratodon_purpureus	Ceratodon purpureus	Viridiplantae	913	220	24.1	2.864	0.0	True
ceratopteris_richardii	Ceratopteris richardii	Viridiplantae	1234	275	22.29	2.588	0.0	True
chamberlinius_hualienensis	Chamberlinius hualienensis	Myriapoda	781	133	17.03	1.847	3.1e-05	True
chara_braunii	Chara braunii	Viridiplantae	6278	861	13.71	1.432	0.0	True
chelonus_insularis_gca013357705v1rs	Chelonus insularis	Insecta	650	115	17.69	1.935	3.8e-05	True
chenopodium_quinoa	Chenopodium quinoa	Viridiplantae	915	219	23.93	2.846	0.0	True
cherax_quadricarinatus_gca038502225v1rs	Cherax quadricarinatus	Crustacea	1965	383	19.49	2.184	0.0	True
chlamydia_trachomatis_d_uw_3_cx_gca_000008725	Chlamydia trachomatis D/UW-3/CX	Bacteria	15	4	26.67	4.727	0.186207	False
chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	Chlorophyta	5150	553	10.74	1.083	0.115866	False
chlorella_variabilis	Chlorella variabilis	Chlorophyta	1186	218	18.38	2.036	0.0	True
chlorobaculum_tepidum_tls_gca_000006985	Chlorobaculum tepidum TLS	Bacteria	13	0	0.0	0.0	1.0	False
chloroflexus_aurantiacus_j_10_fl_gca_000018865	Chloroflexus aurantiacus J-10-fl	Bacteria	52	19	36.54	5.297	0.001206	True
chondrus_crispus	Chondrus crispus	Rhodophyta	392	47	11.99	1.23	0.215573	False
chroomonas_mesostigmatica_ccmp1168_gca_000286095	Chroomonas mesostigmatica CCMP1168	Cryptophyta	8	1	12.5	inf	0.533333	False
chrysoperla_carnea_gca905475395v1rs	Chrysoperla carnea	Insecta	661	120	18.15	1.996	1.3e-05	True
cimex_lectularius	Cimex lectularius	Insecta	511	119	23.29	2.732	0.0	True
cinnamomum_kanehirae	Cinnamomum micranthum f. kanehirae	Viridiplantae	1776	438	24.66	2.955	0.0	True
citrullus_lanatus	Citrullus lanatus	Viridiplantae	1373	290	21.12	2.414	0.0	True
citrus_clementina	Citrus clementina	Viridiplantae	1398	319	22.82	2.676	0.0	True
closterium_nies54	Closterium sp. NIES-54	Viridiplantae	22504	2225	9.89	0.988	0.659508	False
clostridioides_difficile	Clostridioides difficile	Bacteria	26	2	7.69	0.958	0.710084	False
clytia_hemisphaerica_gca902728285	Clytia hemisphaerica	Cnidaria	950	161	16.95	1.837	6e-06	True
coccomyxa_subellipsoidea	Coccomyxa subellipsoidea C-169	Chlorophyta	348	63	18.1	2.035	0.001083	True
coffea_canephora	Coffea canephora	Viridiplantae	1191	277	23.26	2.728	0.0	True
contarinia_nasturtii_gca009176525v2rs	Contarinia nasturtii	Insecta	961	156	16.23	1.744	3.3e-05	True
convolutriloba_macropyga	Convolutriloba macropyga	Xenacoelomorpha	941	197	20.94	2.383	0.0	True
copidosoma_floridanum_gca000648655v2	Copidosoma floridanum	Insecta	1334	242	18.14	2.0	0.0	True
corchorus_capsularis	Corchorus capsularis	Viridiplantae	1304	278	21.32	2.445	0.0	True
coremacera_marginata_gca914767935v1	Coremacera marginata	Insecta	1470	236	16.05	1.721	1e-06	True
corylus_avellana	Corylus avellana	Viridiplantae	1358	340	25.04	3.023	0.0	True
corymbia_citriodora	Corymbia citriodora	Viridiplantae	1931	510	26.41	3.23	0.0	True
cotesia_glomerata_gca020080835v1	Cotesia glomerata	Insecta	1098	160	14.57	1.546	0.000569	True
coxiella_burnetii_rsa_493_gca_000007765	Coxiella burnetii RSA 493	Bacteria	9	2	22.22	inf	0.264706	False
crassostrea_angulata_gca025612915v2rs	Crassostrea angulata	Mollusca	1014	186	18.34	2.028	0.0	True
crassostrea_virginica_gca002022765v4	Crassostrea virginica	Mollusca	1331	268	20.14	2.269	0.0	True
cryptococcus_neoformans	Cryptococcus neoformans	Fungi	304	45	14.8	1.581	0.043221	True
cryptomeria_japonica	Cryptomeria japonica	Viridiplantae	1440	300	20.83	2.368	0.0	True
cryptomonas_paramecium_gca_000194455	Cryptomonas paramecium str. CCAP977/2A	Cryptophyta	2	1	50.0	inf	0.666667	False
cryptosporidium_andersoni_gca_001865355	Cryptosporidium andersoni	Apicomplexa	127	24	18.9	2.214	0.02476	True
cryptosporidium_meleagridis_gca_001593445	Cryptosporidium meleagridis str. UKMEL1	Apicomplexa	180	17	9.44	0.939	0.638766	False
cryptosporidium_muris_rn66_gca_000006515	Cryptosporidium muris RN66	Apicomplexa	126	21	16.67	1.883	0.070352	False
cryptosporidium_parvum_iowa_ii_gca_000165345	Cryptosporidium parvum Iowa II	Apicomplexa	229	34	14.85	1.633	0.06005	False
cryptosporidium_ubiquitum_gca_001865345	Cryptosporidium ubiquitum	Apicomplexa	204	24	11.76	1.22	0.322406	False
cryptotermes_secundus_gca002891405v2rs	Cryptotermes secundus	Insecta	866	152	17.55	1.928	3e-06	True
ctenocephalides_felis_gca003426905v1rs	Ctenocephalides felis	Insecta	640	119	18.59	2.056	7e-06	True
cucumis_melo	Cucumis melo	Viridiplantae	1520	319	20.99	2.391	0.0	True
cucumis_sativus	Cucumis sativus	Viridiplantae	1482	305	20.58	2.334	0.0	True
culex_pipiens_gca016801865v2rs	Culex pipiens pallens	Insecta	1827	384	21.02	2.404	0.0	True
culex_quinquefasciatus_gca015732765v1vb	Culex quinquefasciatus	Insecta	1746	359	20.56	2.337	0.0	True
culicoides_brevitarsis_gca036172545v1rs	Culicoides brevitarsis	Insecta	626	140	22.36	2.616	0.0	True
culicoides_sonorensis	Culicoides sonorensis	Insecta	901	160	17.76	1.943	1e-06	True
cutibacterium_acnes_kpa171202_gca_000008345	Cutibacterium acnes KPA171202	Bacteria	20	5	25.0	3.0	0.203742	False
cyanidioschyzon_merolae	Cyanidioschyzon merolae	Rhodophyta	383	48	12.53	1.297	0.154512	False
cyclospora_cayetanensis_gca_000769155	Cyclospora cayetanensis str. CHN_HEN01	Apicomplexa	475	52	10.95	1.117	0.339641	False
cydia_pomonella_gca033807575v1rs	Cydia pomonella	Insecta	673	157	23.33	2.747	0.0	True
cylas_formicarius_gca029955315v1rs	Cylas formicarius	Insecta	454	93	20.48	2.336	6e-06	True
cynara_cardunculus_gca001531365v2gb	Cynara cardunculus Scolymus	Viridiplantae	1679	392	23.35	2.756	0.0	True
cystoisospora_suis_gca_002600585	Cystoisospora suis str. Wien I	Apicomplexa	1663	278	16.72	1.809	0.0	True
daktulosphaira_vitifoliae_gca025091365v1rs	Daktulosphaira vitifoliae	Insecta	599	120	20.03	2.289	1e-06	True
danaus_plexippus	Danaus plexippus	Insecta	488	95	19.47	2.211	1.5e-05	True
danaus_plexippus_gca018135715v1	Danaus plexippus	Insecta	508	98	19.29	2.185	1.4e-05	True
daphnia_carinata_gca022539665v4rs	Daphnia carinata	Crustacea	1156	160	13.84	1.453	0.002372	True
daphnia_magna_gca020631705v2	Daphnia magna	Crustacea	1355	199	14.69	1.554	0.000115	True
daphnia_pulex_gca021134715v1rs	Daphnia pulex	Crustacea	1673	274	16.38	1.765	0.0	True
daphnia_pulicaria_gca021234035v2rs	Daphnia pulicaria	Crustacea	1750	297	16.97	1.84	0.0	True
daucus_carota	Daucus carota	Viridiplantae	1056	242	22.92	2.69	0.0	True
deinococcus_radiodurans	Deinococcus radiodurans	Bacteria	38	13	34.21	5.893	0.005744	True
dendroctonus_ponderosae_gca020466585v2rs	Dendroctonus ponderosae	Insecta	438	110	25.11	3.073	0.0	True
dendronephthya_gigantea_gca004324835v1	Dendronephthya gigantea	Cnidaria	625	146	23.36	2.763	0.0	True
dermacentor_andersoni_gca023375885v2rs	Dermacentor andersoni	Chelicerata	1216	235	19.33	2.166	0.0	True
dermacentor_silvarum_gca013339745v2rs	Dermacentor silvarum	Chelicerata	1396	242	17.34	1.895	0.0	True
dermatophagoides_pteronyssinus_gca001901225v2	Dermatophagoides pteronyssinus	Chelicerata	2957	591	19.99	2.253	0.0	True
desulfovibrio_vulgaris_str_hildenborough_gca_000195755	Desulfovibrio vulgaris str. Hildenborough	Bacteria	33	8	24.24	3.093	0.101836	False
diabrotica_virgifera_gca917563875v2rs	Diabrotica virgifera virgifera	Insecta	532	112	21.05	2.405	0.0	True
diaphorina_citri_gca000475195v1rs	Diaphorina citri	Insecta	628	97	15.45	1.665	0.001968	True
dictyoglomus_turgidum_dsm_6724_gca_000021645	Dictyoglomus turgidum DSM 6724	Bacteria	12	4	33.33	5.0	0.185355	False
dictyostelium_discoideum	Dictyostelium discoideum	Amoebozoa	5797	665	11.47	1.168	0.005414	True
dictyostelium_purpureum_gca_000190715	Dictyostelium purpureum str. QSDP1	Amoebozoa	1855	360	19.41	2.172	0.0	True
digitaria_exilis	Digitaria exilis	Viridiplantae	796	192	24.12	2.881	0.0	True
dimorphilus_gyrociliatus_gca904063045v1	Dimorphilus gyrociliatus	Annelida	526	78	14.83	1.584	0.009747	True
dinothrombium_tinctorium	Dinothrombium tinctorium	Chelicerata	604	107	17.72	1.948	6.1e-05	True
diorhabda_carinulata_gca026250575v1rs	Diorhabda carinulata	Insecta	391	74	18.93	2.101	0.000265	True
diorhabda_sublineata_gca026230105v1rs	Diorhabda sublineata	Insecta	379	80	21.11	2.466	1.1e-05	True
dioscorea_rotundata	Dioscorea rotundata	Viridiplantae	2036	451	22.15	2.568	0.0	True
diphasiastrum_complanatum	Diphasiastrum complanatum	Viridiplantae	1134	348	30.69	3.996	0.0	True
diuraphis_noxia_gca001186385v1	Diuraphis noxia	Insecta	938	144	15.35	1.646	0.000254	True
dreissena_polymorpha_gca020536995v1rs	Dreissena polymorpha	Mollusca	1258	257	20.43	2.325	0.0	True
drosophila_albomicans_gca009650485v2rs	Drosophila albomicans	Insecta	2667	475	17.81	1.955	0.0	True
drosophila_ananassae_gca017639315v2rs	Drosophila ananassae	Insecta	1870	337	18.02	1.978	0.0	True
drosophila_arizonae_gca001654025v1rs	Drosophila arizonae	Insecta	2517	420	16.69	1.807	0.0	True
drosophila_biarmipes_gca025231255v1rs	Drosophila biarmipes	Insecta	1705	292	17.13	1.865	0.0	True
drosophila_bipectinata_gca030179905v2rs	Drosophila bipectinata	Insecta	1665	288	17.3	1.887	0.0	True
drosophila_busckii_gca011750605v1rs	Drosophila busckii	Insecta	2277	443	19.46	2.18	0.0	True
drosophila_elegans_gca018152505v1rs	Drosophila elegans	Insecta	2098	341	16.25	1.753	0.0	True
drosophila_erecta_gca003286155v2rs	Drosophila erecta	Insecta	1642	265	16.14	1.733	0.0	True
drosophila_eugracilis_gca018153835v1rs	Drosophila eugracilis	Insecta	1721	292	16.97	1.839	0.0	True
drosophila_ficusphila_gca018152265v1rs	Drosophila ficusphila	Insecta	1908	321	16.82	1.828	0.0	True
drosophila_grimshawi_gca018153295v1rs	Drosophila grimshawi	Insecta	2899	469	16.18	1.742	0.0	True
